Blanco Reserva 7
see ''[[#Variants and Derivatives
KAB-1500LG-F-E, KAB-1500LG-Pr-E, KAB-1500-LG-OD-E
Combat Tactical Vehicle  and
M1898 Rifle
Diet Coke Cherry, Coca-Cola Cherry Zero, Coca-Cola Cherry Vanilla
Hotchkiss H35 modifié 39
Grain whisky
Royal Tru-Grape
Summer Colada [Limited]
*Guided Weapon Mk 1 Mod 0
*Guided Weapon Mk 2
*Guided Weapon Mk 3
*Guided Weapon Mk 4
*Guided Weapon Mk 5
*Guided Weapon Mk 6
SPR-1
Tropical 7 Up
Viognier
RPG-7V2
Engineering & recovery, mobile bridge, mine-plough with KMT-6 plough-type system and KMT-7 roller-type system.
THB Special , THB Lite , THB Fresh
Kingfisher Strong Fresh
Old Model, New Model
Ra'ad-2
Bold Orion
916.0
P365-380
Mythos Radler
Pinnacle vodka
ballistic:
* FAST Sentry
* FAST XP
* FAST Maritime 
* FAST SF
* FAST RF1
* FAST XR

non-ballistic:
* FAST Bump 
* FAST Carbon
* FAST SF Carbon Composite
Vz. 59 L,vz. 59T, vz. 59N, vz. 68, vz. 95, vz. 98
Mks I - VII
Coca-Cola Mango
*N-37
*N-37D
*N-37L
*NN-37
0.277
*'Standardversion'
Blaser LRS 2
M.11/16, M.16
2.0
XK9C
Different calibers, sizes and configurations
HELL Classic
NF-1
Babur-III
Slightly differing versions of the M1917 were made by Colt and Smith & Wesson .
-M977A0/A2/A4 cargo truck.
GSP Atlanta ,
0.223
Mark 7, 8, 9 and 10
L-60 Ö
G7e
SiSi Fruit Water Orange
Ship-platform variant
Suppressed Variant
[[#Model 1915 : Stielhandgranate 15
MG251-LR
*Cheerwine Zero Sugar 
*Caffeine-free Diet Cheerwine
*Retro Cheerwine
*Holiday Cheerwine Punch 
*Cheerwine Kreme
Mark 16/16DP and Mark 17
Sola Leger
Mk.I, Mk.I*
Orion I
0.218
Sako S20 Precision
0.219
Pantry vehicle
Full-size, Carry, Compact, Subcompact
DAF M40
Nylon 76MB Mohawk Brown
NOS Rowdy
T32
686
T3 Tactical PN/GN
D3/4 APT-ton, 4×4  – 11,750 units
Tikka LSA65 Standard
Poyraz ARV
See ''[[#MKIV-models
M65, M66
BXP long barrel
K 12 V and K 12 N
PC 1000 RS
Hyunmoo-4.4
Pisztoly 39M
Mk I, Mk II, Mk III, Mk IV
cm leFH 18M
* CPX-2
* CPX-3
Long rifle, short rifle, cavalry carbine, special troops' carbine
0.243
Coca-Cola Zero Sugar Orange Vanilla
Bira 91 White, Bira 91 Blonde, Bira 91 Light, Bira 91 Strong, Bira 91 Bira Boom The IPA
0.244
Pepsi Cherry Vanilla
-M983A2/A4 Light Equipment Transport tractor .
'Bolo'
M1278 Heavy Guns Carrier
G2 Elite
Pop Morada
M1888-90, M1888-95, M1888/24
Original, Forte, Light
Malt og Appelsín
Casa Dragones Joven, Casa Dragones Blanco, Casa Dragones Barrel Blend, Casa Dragones Reposado Mizunara
Personnel Carrier, Field Ambulance, 81mm Mortar Carrier, Command Post, Maintenance and Recovery Vehicle, Electronic Warfare Vehicle, Mobile Repair Team Vehicle, Air Space Coordination Centre Vehicle, Reconnaissance Vehicle
Horchata
Mk I, II, III, IV
Flatbed truck, radiotruck, Drivingschooltruck
M50A1
'Sight Safety' , First Army Contract, Navy Contract, Second Army Contract, 'Sight Conversion'
LMG 08/15
L13.7
TEC DC-9
*Snake Charmer II
*Night Charmer
*Field Gun
Russell's Reserve 6, 10
US-Mk 4S
XP-100 Varmint Special, XP-100 Silhouette, XP-100 Hunter, XP-100 Custom, XP-100R, XR-100 Rangemaster
HELL Ice Cool
Coca-Cola Zero Orange
LG 40-1, LG 40-2
Type 1 and Type 2
T3x
Škoda 30.5 cm
Nitro Pepsi
19.0
M1885, M1890, M1897
RC Cola Kick
ZBD-04
Naked Chase Apple Vodka
ZBD-03
Peated Select Cask
M1888, M1895, M1900
SPR100 Youth
Sea Service pistol
O859
Solo Guarana
M1897, M1900
Sd.Kfz. 9/1, Sd.Kfz. 9/2
Shaheen-I and Shaheen-II
P99QPQ, P99 Military, P990 , P99QA, P99QNL, P99AS, P99TA, P99C, P99C AS, P99C QA, P99C DAO, P99 RAD, P99Q and SW99
GP-30, GP-30M, GP-34
Erma MP-56
FORCE CARRY F PRO
RDB, RDC-C
Egg Flip
Sd.Kfz. 7/1, Sd.Kfz. 7/2, Feuerleitpanzer auf Zugkraftwagen 8t, Breda 61
Frostie Strawberry Watermelon
Numerous, see text
Wz 15/27
See Variants:
Caseless ammunition firing variant
ZT 2, ZT 3, ZT 4, ADF 1, YS, YS 2, ZB
Dueller Prismatic
RS, International, Sporter, 25th Anniversary
Gat Pistol
Mark I, Mark II, III/Ital TA, BM59 Para, Mark IV
Armored personnel carrier
Cased telescoped ammunition firing variant
Mod 1, Mod 2
*Diet Root Beer
*Red Crème Soda
*Diet Red Crème Soda
*French Vanilla Crème Soda
*Birch Beer
*Diet French Vanilla Crème Soda
*Floatz 
*Peach
Fizzy Vimto
APX RDO
1909
blued or nickel finish
AK22F
MK7, MK7X
M1074A0, M1075A0, M1074A1, M1075A1
Jefferson's Small Batch, Jefferson's Reserve, Jefferson's Presidential, Jefferson's Ocean, Jefferson's Collaboration, Jefferson's Rye
Mark 1 WP, Mark 2
Harbah NG
Combat version
Raspberry 7 Up
High-explosive fragmentation and hollow-charge
IHP Airpistol 0.22
Cx4 Storm
* TEC-22TK
* TEC-25 
* Sport-22
Type 44 carbine
T48E1 HBAR
Flatbed, Cran, Fireengine, Radarpost
Soltam M-68
LCRx
See:
KRM-2  target drone
*MK23 - standard cargo truck, 184 in wheelbase
*MK25 - standard cargo truck with winch, 184 in wheelbase
*MK27 - extended cargo truck, 216 in wheelbase
*MK28 - extended cargo truck with winch, 216 in wheelbase
*MK29 - dump truck without winch, 184 in wheelbase
*MK30 - dump truck with winch, 184 in wheelbase
*MK36 - wrecker, 216 in wheelbase
*MK31 - tractor, 184 in wheelbase
*MK28C - replacement for Special Purpose Vehicle types, 216 in wheelbase
*MK37 - HIMARS resupply, 216 in wheelbase 
*MK38 - HIMARS trailer
Soltam M-71
Pbv 301
Magazine-fed
Patterns: Q, S, U, W
Vanilla
Tikka M65 Battue
SVL
M110A1 CSASS
M1902, M1904, M1905
WF-32 / G-6181-ton, 4×2  – 9,600 units
Murree's Special Strong
Hotchkiss M1909
FORCE L
Norinco Type 30
Kfz 14
Types I and II
firefighting cran
Single set trigger
Black Monster Energy Drink
M68E1, M68A1, M68A1E4
Panzer 68; Panzer 68/75; Panzer 68/88; Panzer 68-2000
STANDARD
lg. sFH13/02
1911
Obiekt 775T
AR-180B
M1862/66 Artillery carbine
O860
batirol
SiSi Fruit Limo Tropical
Chocolate
Vimto Remix Raspberry Orange & Passionfruit Squash
M1879 Remington-Lee
Char signal
MKR15 – wrecker 
MKR16 – tractor 
MKR18 – cargo
Zündnadelpioniergewehr M/69
XM8 and XM25
M39, M39A1, M39A2, M39A3
R-1, RH, Strv m/37, AH-IV-Hb,
NEPVS-14, PVS-14D
Burn Sour Twist
R4HL
Classico, Espresso
Mine G.S. Mk V
Churchill tank
FH-2000
*M-1978 Koksan
*M-1989 Koksan
Command tank, flame tank, ammunition carrier, Semovente 47/32
M 94/4, M 99, M 99/4
The Works
Bagpiper Gold
GSh-23L
Hispano Suiza MP43/44
FGM-172A anti-tank
GAU-13
SPP-1M
1939
Harbah
1938
Diet Barritt's
Neptune (cruise missile)
Red, Blue, Green, Refresh, Grapefruit, Mint ; Yellow, CLIQ Peach, CLIQ Rhubarb, Elderflower ; Original, Green tea, Cranberry, Pineapple, Raspberry
Mark III/3
Mark III/2
Irn-Bru Energy
A/N M2, A/N M3, M24
Mark VII heavy and Mark VII Airborne depth charge
RPG-7D3
MC2c
AN/PVS-14
Mark 37 Mod 3
Pepsi Vanilla
M224
Mark 37 Mod 2
Mark 37 Mod 1
Cargo with mine protected cab
T29, T29E1, T29E2, and T29E3
JA-22
FGM-172B assault
JA-25
280
Rani Fruit Drink
MP-9
* TOZ-17
* TOZ-17-01
* TOZ-18
* TOZ-78
Pop Candy
DURO
Carbonated water
Red Bull Editions
Fading, non-fading, possibly genetic
light aroma, strong aroma, sauce aroma, rice aroma, phoenix aroma, mixed aroma, chi aroma, sesame aroma, medicine aroma, extra-strong aroma, special aroma, laobaigan, small qu baijiu
M67/77
Brandt 60 mm LR Gun-mortar
Three 20 mm variants for aircraft mounts
L/22
BXP semi-automatic
Stgw52, Stgw54
L/20
SPYDER-SR
Lazar 1, Lazar 2, Lazar 3
* SD40 VE
* SD9 VE
DURO III 4x4
Pepsi Lime
EHT semi-tractor, EHU, EHUT
Delta rockets
--10-03
Active and Passive radar guidance versions
Nylon 76AB Apache Black
M1917 Enfield rifle
AG-17A helicopter-mounted version
ISU-152 model 1945
TKB-022PM No. 1
SiSi No Bubbles Mango
Zero
TKB-022PM No. 2
Diet Pepsi Wild Cherry
AT4-CS HE
SG 542, SG 543
M224A1
P5 Compact
AT4-CS HP
IA2 5.56 Rifle,
T-12 tank prototype, Komintern & Voroshilovets artillery tractors
sporter, carbine, military
OG-44
The Black Grouse
Pomegranate [Limited]
LM3 and the later XLM based on the LM4
U4144-T:274 tractors
Coca-Cola Zero Orange Vanilla
Mitsubishi Armored Vehicle
Kingfisher Storm
Fuel tanker
See ''[[#MKIII-models
wz.1930a
Pop Algodón de Azúcar
Finance-Gewehr Carbine
Y Type, YA, YB & YC
mle 1880 ACS
Guaraná Antarctica Zero
Sun Crest Pineapple Soda
L1A1/C1/C1A1
Dessert
Mark I to Mark VI
Weatherby Magnum, Non-Magnum, and Varmintmaster* Mark V action variants.
M1860/67 Long
Orange 7 Up
--10-25
Ostwind
Cavalry
* SLP Standard
* SLP Mark I
* SLP Tactical
* SLP Mark I Tactical
FORCE CARRY R POLICE
torpedo
Tactical
AT4-CS RS
Lettet-Forsøgs
HELL Zero
Infantry fighting vehicle
Semi-automatic-only version
Silver Spiced
Siege artillery
Imitation Strawberry
light
CARRY
M1120A2 Load Handling System .
ZBD-03 Command Post
Vickers Mk 'G'
Production Model
Close Quarters Battle Receiver
Baikal 1977, Baikal Cherry
Kentucky Spirit
Winter MARPAT
See List of Colt AR-15 and M16 rifle variants
M1914/30 , M1917
Flor de Cana 25
OVL
* MK 23 MOD 0 
* Mark 23/MARK 23
Mks I – II
Zündnadelbüchse  M/54
* Mello Yello
* Mello Yello Zero
* Mello Yello Cherry
Coffee
*M4 bayonet for M1 carbine
*M5 bayonet for M1 Garand
*M6 bayonet for M14 rifle
*M7 bayonet for M16 rifle
M1878/80
Tab Energy
SiSi Fruit Limo Strawberry
FM 15/27
Mk 7/4 , Mk 7/7
M9A1, M9A2  and M9A3 and M9A4
Rhum blanc, rhum ambré et rhum vieux
M 5/08
GS cargo, water, fire tender, wireless, fuel tanker, 'office'
Tank, C3 Command Vehicle.
Tikka M65 Sporter
see List of Colt AR-15 & M16 rifle variants
Benét–Mercié Machine Rifle M1909
PC 500 RS
Model LC, Model LV
Diet Root Beer
A1, A2, A3, 94, 94 AWM, SP89
Tikka M55 Super Sporter
HMG Type 24
Russkiy Reno
Model II
Gewehr 33/40
Strela-10, Strela-10SV , Strela-10M, Strela-10M2, Strela-10M3, Strela-10M3-K, Strela-10M4
AN/PVS-17A/B
-M1142 Tactical Fire Fighting Truck .
Concealed Carry
Standard, Full Armour
Custom II
Citrus
Mk I, Mk II, Mk V
P15-22
Prototypes in differing configurations including LRPV and steel armour
None
Highball spherical bouncing bomb, inert training bombs
TAK
Mks I – V
Kpist m/37
Shkval 2, Shkval-E
Aselsan STAMP-G
P9T
M46A1
wz.37
K808 8×8
VAMTAC I3, S3, and ST5
Irish moss
NM149-F1
* 15M Sarvatra Bridge System
* 20M Sarvatra Bridge System
M5 Commander
Mauser MP-57
see text
Pak 43/41
Summer Fruits Zero
T-203B1-ton, 4×4  – 1,500 units
MGR-1A, MGR-1B, MGR-1C
D.S. mount
MZKT-741351
Panther
FLG, FLG P and FLG K
Mountain Blackberry
Vana Tallinn Ice Cream
HiPPAG® 320
Fat-free
M18  152 gr
Coastal artillery
see variants
OTs-03A
OCP ACS, MultiCam ACS, UCP ACS, Ballistic Combat Shirt
Blackcurrant Apple
* M82
* M82-LM
* M87
Martini–Henry Carbine
*M28
*M29
Antiquity Rare
Combat
Jägerbüchse
Big Peach
Taer-1
Capri Sun Island Refreshers
Type 46, Type 47, Type 46/66, Type 47/66, Type 66
Pro Aegis II
U4144:138 trucks
mountings Mk I, Mk II
M1846/55
Mauser Model 1895 Carbine
7.62
SD-44
Marks 1, 5, and 8
7.65
Hunter, Commander, C
See text
Al Fahd 500
Sun Crest Grape Soda
ZT3, ZT3A2
Aselsan GOKDENIZ
FT 75 BS
Officer's Choice Blue
Officer's Choice rum
Officer's Choice Black
Skoda 24 cm L/40 K97
Wild Turkey 8, 12
C.O.E. AFKWX – 7,235 units
See versions
Akash Prime,
Tank gun
LS-26-31
D500E
Aselsan STAMP-2
Regular, Citron, Oranje
M110A1 SDMR
M1280 General Purpose
T.Mi.29
m/948, m/963 and m/976
D500L
* Narwhal 20A
* Narwhal 20B
CS/LP6
Mk II ,
T1 prototype, T1E1, T1E2, T1E3, T1E4, T1E5, T1E6
Charter Arms AR-7 Explorer;
Udar-S, Udar-TS
MAC-11/9
'''Flyer 60 / Flyer II V-22 ITV
RHI, LHI, RHO, LHO for multiple mountings
Alpha Draco
Recon Carbine
Wine
Coke with Lime, Diet Coke with Citrus Zest
M1855, M1861, M1862, M1864, M1865, rifle and carbine
QJC-88
T5E1, T5E2
Heavy recovery vehicle &
MP-446 Viking
FH-88
Swarming (military)
Tikka M76
M1288 GMV 1.1
Non-Flavoured Sparkling
Tikka M65 Standard
M7 bayonet
OTs-27, OTs-27-2
COMBAT
MXIK
Wild Turkey 101
Granatbüchse 39
Carbine & cavalry carbine
GMW
LAU-127A/A, LAU-127B/A, LAU-127C/A, LAU-127D/A, LAU-127E/A, and LAU-127F/A
K 39/40, K 39/41
See
Toldi I, Toldi II, Toldi IIA, Toldi III
Kabyle Muskets, and other local variants
1100
S25 Sprut-SD
Banker's Special
Commando Special
7.5
H&K SL6, H&K 770
7.7
Cargo
Infantry Musket Model 1723
Model 20
Light repair workshop
Amaretto
-M985A0/A2/A4 cargo truck.
-M985A0/A2/A4 Guided Missile Transporter cargo truck .
See Variants for details
Model 23
Mortier de 270 mm modèle 1885
Model 1911
Model 1910
Winchester Model 1890
* Intervention
* Commando I
* Commando II
* Integral Silencieux
Mendoza RM2
Model 1907
RC Cola Zero
Modelo 1920
al-Najm al-Thaqib-2
Mk 19 Mod 0, Mk 19 Mod 1, Mk 19 Mod 2, Mk 19 Mod 3, Mk 19 Mod 4
Kofola Originál, Meruňka, Meloun, Malina, Ostružina, Angrešt, Guarana, Bez cukru, Višňová, Citrus
Vickers K machine gun
al-Najm al-Thaqib-1
Ksp 58 D
Mark 5 Mods 0–3, Mark 6 Mods 0–2
Ksp 58 C
Wänzel Infanterie Gewehr M1862/67
Ksp 58 B
Dry Ginger Ale
Model 10
ARWEN 37S, ARWEN 37T
PM-70, PM-73, Type 82
M1809
Nova
Burn Apple Kiwi
Tropical
pistol
Black Monster Mango Loco
One/mod for low-level delivery
COMPACT
Norinco Type 23-1 and Type 23-2
NR-23k
Flame Resistant Organizational Gear
* 12.8 cm Kanone 44, Pak 44
* 12.8 cm Kanone 81/1
* 12.8 cm Kanone 81/2
* 12.8 cm Kanone 81/3
* 12.8 cm Pak 80
Sola Super
Pepsi Zero Sugar Wild Cherry
Glühwein, Glögg, and many others
Tikka LSA55 Sporter
X-tra Spicy
VF-1
K111 Fagot
M71/S
Sauvignon Blanc
Breda Mod. 40
M1855
[[#Production models
Wänzel WallGewehr M1872
M1855/67
M1857
STR 200 MATCH
M1851
M1852
Regular
FORCE COMPACT
SMG9
Blaser LRT
Sipahh Chocolate, Sipahh Strawberry, Sipahh Banana, Sipahh Caramel, Sipahh Vanilla, Sipahh Choc-Mint, Sipahh Cookies and Cream
Military & Police, Double Action Only
Kickapoo Fruit Shine
M1859
Tetrarch I CS, Tetrarch DD
Kbkg wz. 1974, skbk wz. 1989 Onyks
Añejo, Burdeos, Citrónge, Gran Platinum, Reposado, Silver, XO Cafe, XO Cafe Dark Cocoa
Dueller
Ksp 58 Strv
BT-2, BT-5, BT-7, BT-7M
-M1158 water tender.
Green Bottled
S-25-OF , S-25-O , S-25-OFM , S-25L
Root Beer
Type 22
57000000
715
Service Grade
Thunder Ultra Compact
*HK45
*HK45 Tactical
*HK45 Compact
*HK45 Compact Tactical
Tikka M55 Fullstock
Gold
vz. 51, M-51, R-2
Sour Kiwi Apple
See ''[[#Variants and upgrades
M71/84
*LPTA 716 4×4
*LPTA 2038 6×6
*LPTA 3138 8×8
*LPTA 4545 10×10
*LPTA 5252 12×12
*Nirbhay, BrahMos Missile Transporter erector launcher
0.22
Mk 1, Mk 2, Mk 3, Model C6T.
Model 35/46
W. L. Weller Special Reserve
Zulfiqar 1, Zulfiqar 2, Zulfiqar 3
Frostie Vanilla Root Beer
Target AP-9
Russell's Reserve Single Barrel
Type 38
Bali Hai Draft Beer
Type 35
Type 36
Www.valari.org
Type 31
M1860
Sparkling
High-explosive anti-tank warhead
TKS
Type 30
tapj 9102
tapj 9101
Rifled musket
Mark 29 Mod 1 torpedo
Brixia Model 1912
M1831
Yellow Izarra, Green Izarra
Mauser M 98 Magnum
0.28
Caprio Plus
0.25
Bronze star
PSRL-1
PSS-2
tank
RC-50F
M1845
M1846
See ''[[#Military variants
V-3, V-4, V-4/2, Str. Light, Type D, Type R, PV-T
Model 627
M1842
0.45
BUL G-Cherokee allows attachment of optional shoulder stock to backstrap.
0.41
M1849
Type 18
Perma Frost Schnapps, Jacapple and Wicked Hot
0.38
Type 16
Type 13
Kickapoo Malibu
Imitation Grape
2013
Type 11
Classic, Classic Keiler, Premium, Classic Concord, Super Classic, Royal, Grand Royal
AB-10
Type 10
M320, M320A1
Civilian 'Murata shotgun' models
Irn-Bru Sugar Free
Babur-I
* White AM Mle 1915
* White AM Mle 1917/18
* White-Laffly AMD 50
* White-Laffly AMD 80
Colt Magnum Carry
MG 45/MG 42V, MG 1, MG 2, Rheinmetall MG 3, M53, MG 74
dnL
Mod 5A
AGM-84K
M40A5
[[#7.7×58mm Type 92
AGM-84H
M40A1
0.51
M40A3
Light mode/Heavy mode
Extra Lite 4
Marks 1–3, 5, 8–10, 12
NJU-2
Utility
Command tank, Semovente 75/34, Semovente 75/46, Semovente 105/25
Mk IX, Mk X, Mk XIV
KAL1
soft top and hard top station wagon
Type 65
M24A2, M24A3, M24E1
Type 60
Type 80
Anza Mk-I
* PSG1A1
* MSG90
* MSG90A1
Crystal Pepsi
CM6616, KM900, KM901
0.375
Softtop
Black Monster VR46
Type 95 torpedo
Mk 9, Mk 12, Mk 14, Mk 15, Mk 16
760
SPR100 Sporting
762
Astra Model 300,
A1, A2, B1, B2
Blaser Tactical 2
3.0
Panhard 178B
White Label, Dewar's Scratched Cask, Dewar's 12, Dewar's 15, Dewar's 18, Dewar's Signature
3.7
Colt Anaconda
silenced
M1879
Patrol, Target, Supertarget
M. 16, M. 18
M1873
Land-launched
The 120mm mortar round is called Kitolov-2 and the 122mm artillery shell Kitolov-2M.
Norwegian Jarmann
M733
-ton truck, 4×4
T30E1
TEC DC-9M
Cobra 2000, Mamba
Mark 21 Mod 2 torpedo
Ancho Reyes Verde
* Leto 
* Sever 
* Zima 
* Gorod
Coca-Cola Zero Starlight
BMP32, Bergmann MP34
Kalis, Balasiong, Punyal , Chundrik
Ausf. A
MKE 120 mm tank gun
Tikka M55 Continental
Long Land Pattern, Short Land Pattern, Sea Service Pattern, India Pattern, New Land Pattern, New Light Infantry Land Pattern, Cavalry Carbine, Marine Carbine
Mk XVI* and Mk XXI
Extra-Corps Carbine
XL64, XL65, XL70
Canon de 220mm L Mle1917 Schneider  self-propelled gun
Pepsi Zero Sugar
K16 BAG
No 4 mk I, II, II* and III
Peanut
White Grape
PP-90M, PP-92
Royal Norwegian Navy:
M202, M206
M1887
Babur-II
SG-43, SGM, SGMT, SGMB
RC Cola Edge
pulling tractor
Babur-IB
Elswick: Mk I, Mk II, Mk III
Whole
Mark 22
Frostie Pink Lemonade
Babur-IA
*Little Badger Shotgun
*Little Badger Deluxe Shotgun
XM106, M106, M106A1, M106A2
Blued Steel model. Available with 4 in and 6 in barrels. Fewer than 100 reported as being manufactured with 8 in barrel. Twenty-five guns with 5 in barrels and nickel finish marked 'F.H.P.'  #32 through #56 shipped in 1959.
* Model 66 
* Model 68
-M1977A0/A2/A4 Common Bridge Transport .
Type 56
ADCOR A-556 Elite
Pro Custom 14.45
Type 53
Onyx
M1883
Type 54
M1977A2 CBT.
Model 1868 carbine
APX Carry
Mark 3 and Mark 4
Mod 1B
plus, one tank variant
R-27
M8, M8A1
Mango Medley
Mod 19
Mod 17
2075
Models:
3520, 3530, 3531, 3540, 3541, 3561, 3563
Sun Crest Cherry
Lime Bite
Length varied from factory to factory
Mod 15
Mod 14
Mk VIII, VIIIe, VIIIv
Combat Support Vehicle
T-35B
Kingfisher Premium
SA-75 Dvina, S-75 Desna, S-75M Volkhov/Volga
T7, T7E1
Light Storm
C-130:- 6 barrel module
FN Grand Browning
Guided version
Marks 4, 6, 7, 11 and B
MAS-49 Syrian contract
kurz sFH 13
m/38 short rifle, m/41 sniper rifle, m/94 carbine.
[[#SPP
+ additional 16 models
U4044-T:548 tractors
Mod 11
Silver Star
Julmust
