Kate Black Elk
Maud de Ros
Constança d'Antillón
Princess Anna of Saxony (1836–1859)
Huri-Khan Khanum
Theophanu
Queen of Hungary
Louisa Jane Campbell
Rae Cummings
Ava de Ribagorza
Garsenda of Bigorre
G. Chandravathi
Bernice Hardy
Franziska of Brienne and Luxemburg
Lady Jiang
Baroness Hunsdon
Empress Xiaocigao (Qing dynasty)
Amelia Elliott
Greeks
Helena of Raška
Edna Ramsay
Tsao Ng Yu-shun
Maria Golovatcheva
Burgravine Louise Isabelle of Kirchberg
Maria Sharpe
Agnese da Montefeltro
Anne Cobham
Rangorinimerina
Luitgard of Elchingen Ravenstein
Uma Natarajan
Christine Armgard von Reventlow
Princess Tomohito of Mikasa
Empress Dou (Wen)
Cik Halima binti Uggoh
Isabella of Lusignan
Toqai Toghlu Khatun?
Antónia José de Abreu
Alexandra Feodorovna (Alix of Hesse)
Weyziro Abechi
Laurette Spang
Francisca Arroyo
Brighdin
Naïma Bennanni
Countess of Arundel
Sadh-ruh-nissa
Ansflede
Jamsai Silpa-archa
Amy Berman Jackson
Lady Constance Murray
Plautia Urgulanilla
Elizabeth Kenn
Maria Teresa de Silva y Alvarez de Toledo
Royal Noble Consort Subin Park
Beth Logan (The Bold and the Beautiful)
Franciszka Kenar
Anne Luddington
Maria Anna of Portugal
Paetini
Teresa Witkowska h. Nowina
Wisconsin
Saw Khin Htut of Pagan
Sheela O'Sullivan Beare
Isabel Elvira de Guzmán y Ayala
Danske Dandridge
Margaret of Geneva
Eisabeth of Koźle-Bytom
Jane Blennerhassett
Lady Wu
Nyirayuhi Kanjogera
Princess Louise of Orléans
Elizabeth Starkey
Mayken Provoost Bacher
Countess Henriette of Ledebur-Wicheln
Ermentrude of Orléans
Josefa Fenicula López Pacheco y Moscoso-Osorio
Nakatsu-hime
Marianne
Anna of Baden-Durlach
Judith of Schweinfurt
Gunnor
Maria Antonietta Pasquini dei Conti di Costafiorita
Neer Kumari Shrestha
Princess Zhengguo
Elaine Stevens
Fujiwara no Ritsushi
Farida of Egypt
Slaney O'Brien
Amsha bint Faraj Al Ajran Al Khalidi
Shin Myo Myat
Rachel Hollander
Khin Myo Myat
Consort Wang (Taizong)
Bee Gilbert
Edyth Bailey
Fujiwara no Kishi
Mispa Florina Mbella
Elvah T. Jones Daniel
Princess Louise Charlotte of Denmark
Princess Françoise of Orléans (1902–1953)
Enriqueta Delás
Khamphoui
Countess Wilhelmine of Solms-Braunfels
Ana Ocampo
Naziknaz Hanım
Harriet Leilis
Carolina dei Conti Rignon
Krystyna Zborowska
Elisabeth of Bregenz
Ramnika Gupta
Grand Duchess Anastasia Mikhailovna of Russia
Sugun Kunwar Singh
Barra bint Samawal
Lucina Lam
Raja Buntal Raimah Binti Raja Barakat
wife of Orhan
Wuyunzhu
Arria Fadilla
Chinta Kala Bista
Elizabeth Willoughby
Countess Marie Wilhelmine von Keller
Maria Asenina of Bulgaria
Queen of Armenia
Isobel Mary Johnson
Tamar Jaqeli
Gina Moneta
Princess Maria Elisabeth of Bavaria
Christine Rantzau
Sirikit Kitiyakara
daughter of Pharnavaz II of Iberia
Lady Gouyi
wife of Ramiro II of Aragon
Anna Lang (harpist)
Clementia of Luxembourg-Namur
Gayatri Gauri
Shaklah bint al-Balkhi
Chou E , concubine of Duke Xiang of Wey
Marie Victoire de Noailles
Trịnh Thị
Makeda Sylvester
Elsie Florence
Caroline Matilda of Great Britain
Princess Elisabeth of Hesse-Kassel
Eleanor Grey
Sandra Schmidt-Polex
Lelka
Mihrimah Sultan (daughter of Şehzade Ziyaeddin) of the Ottoman Empire
Marie Juliette Louvet
Elvira Rodríguez de Villada
Princess Tamara Dekanozishvili
Princess Marie Frederica of Hesse-Kassel
Princess Elizabeth of Yugoslavia
Theda Ukena
Ayesha bint Ali Al Darmaki
Blanche Silvani
Gesshin, Kikoe-ōkimi-ganashi
Jane Wha-Young Kim
Anne of Świdnica
Antoinette Amelie of Brunswick-Lüneburg
Amelie Westerberg
Barbara Kay
Ariadne (empress)
Saeng Kalyanamit
Fatafehi Lapaha Tupou, Baroness Tuita of 'Utungake
Iris Machado
Madalena Máxima de Miranda
Magdalena Sibylla of Hesse-Darmstadt
Swarnapali
Beata Kościelecka
Roqiya bint Ismail al-Azadi
Maria Vakulchik
Marie of Lorraine
Carmel Kazemi
Queen of León
Hazel Meak
Randa bint Mohammed Al-Banna
Patricia Spafford Smith
Nabam Yanyang
Ingrid of Sweden
Eudokia Ingerina
Matilda of Cuyk-Arnsberg
Lois Henrickson
Miejoko Kato
Irène Tharin
Sidonie of Poděbrady
Lady Lu
Mariana de Silva-Bazán y Sarmiento
Matlalcihuatzin
Lady Li
Christa von Arnim
Duchess Marie Louise of Mecklenburg-Schwerin
Mirel dit Mirish
Princess Margaret of Connaught
Maria Camilla Cybo Malaspina
Internal Princess Consort Eunseong of the Eunjin Song clan
Padmavati
Sarah Beaumont
Lalit Rajeshwori Rajya Lakshmi Devi
Joan of Foix
Fran Heath
Princess Marie Louise of Bourbon-Parma
Lee Sutton
Demi Moore
Landgravine Marie Anna of Hesse-Homburg
Hildegard of the Vinzgau
Krishna Kapoor
Violeta Barrios de Chamorro
Ang Kee Neo
Isabella of Bourbon
Fujiwara no Akirakeiko
Nicki Grant
Bidar Kadın
Esther Gottesman
Sondra B. Gair
Ofelia Guilmáin
Lady Ma
Giulia Boiardo
Kinloss Abbey
Anna of Żagań
daughter of Lothair II
Naamah (wife of Solomon)
Countess of Nevers
Zsuzsanna Lorántffy
Donna Hudson
Linda Lee Cadwell
Princess Antoinette of Saxe-Altenburg
Pranee Ounprom
Alice Silva
Isabella of Toron
unknown
Jitka
Anna Maria of Saxe-Weissenfels
Lady Šušu Gioro
Adjedet-Aat
Jennifer Lash
Elizabeth Brooke
Adelheid Luce
Mary Jameson
Sarah Guile
[[#Joan Boyd
leo × P. tigris
Venys Monoszló
Francesca Tedaldi
Empress Dowager Bian
Augusta Louisa née Baudinet
Fredisenda
Lucretia Burdick
Butler
Farida Siddiqui
Ayşe Hanım
Princess Maria Antonietta of the Two Sicilies
Shabia Zafar
Kayadhu
Mary Hearn
Himani Shah
Dorothea Cumbo
Anna Maria Marten
Princess Sophie of Greece and Denmark
Élisabeth Thérèse de Lorraine
Lady Seo
Mary, née Cave
Mama Anahuarque
Eugenie Liautaud
Johanna Buschoff
Louise Peyron
Henu
Countess of Worcester
Ruth Baker Pratt
Maria Antonia Josepha of Khevenhüller
Ruth Subotnik Ruben
Lady He
Lucinda Simões
Matilda of Scotland
Agnes of Faucigny
Rusudan of Georgia
Roggenburg Abbey
Gemma Ramsay
Claire Forrester
Maria B. Farnam
Princess Chanfongrachadevi
Baeda Maryam I
Zui Un
Lady Ik
Lady Im
Lavinia Zion
Lady In
Mona McKay
Esther
Mary Chudleigh
Lilawathi Obeysinghe
Sophia Dorothea of Schleswig-Holstein-Sonderburg-Glücksburg
1st Lady of Meirás
Anne Cheyne
Françoise de Roffignac
Amalia of Nassau-Dietz
Mary Burgess
Grimelda of Hungary
Maria II of Portugal
Taira no Muneko
Sal
Madam Nwalute Onwubunta
Nedjetempet
Sophie of Saxe-Lauenburg
Ludwika Lubomirska
Lady Jo
Infanta Maria Anna of Portugal (1843–1884)
Mary Dudley
Anne de Montafié
Mahaut of Châtillon
Perla Apostol
Catherine  Sholes
Kin Ō-Aji-ganashi
Elisabeth of Courtenay
Teresa Dunin Borkowska
Huang Chuliang
Maria of Austria (1531–1581)
Princess Ōta
Margareta of Baden
Mwei Ma-Gu-Thauk
Woizero Wosenyelesh Mangasha
Auguste Henriette Wilhelmine Block
Unidentified
Empress Ma (Jianwen)
Gloria Loring
Margaret of Jülich
Sagaing Minthami
Boki Maryam
Tachibana no Kachiko
Narriman Sadek
Monica Fernando
Concubine Trương Thị Thuận
Hilde Maroff
Marcusa of Arborea/Mary of Orrubu
Catherine Fenton
Kamala Kamini Dutta
Mariam Sarkar
Beatrice Sterling Procter
Anastasia of Lăpușna
Countess of Artois
Maharani Jaiwanta Bai
Princess Marie of Hesse-Kassel
Lilly Rahim
Vanessa Villante
Vadaja
Tarsia Rizzani
Louise of Hesse-Kassel
Princess Anna Adelheid of Fürstenberg-Heiligenberg
Sandra Krebs
Toor Pekai Yousafzai
Richardis, Countess of Sponheim
Aruby  Hotchkiss
Cleopatra II of Egypt
Wilhelmine Christine of Nassau-Siegen
Hou Luling
Fujiwara no (Kajūji) Haruko
Margaret St. John
Mahendrani
Anna Komnene Angelina
Amelia Berendt
Lady Elizabeth Montacute
Michla Wasserman
Garsinde du Maine
Kuniko Irie
Margarita Baca Saravia
Élisabeth de Roquelaure
Chaya Tzipporah Povarsky
Countess Emilia Antwerpiana of Nassau
[[#Angie Appleton
Matilda of Swabia
Patty Wetterling
Daisy Carter
Leela Roy Ghosh
Eva Carolina Åkerhielm af Margretelund
Leighanne Littrell
Barbara Lutyens
Heilwig of Bronckhorst
Lady Du
Agnes of Holstein
Dorothy de Vere
Elaine Usher
Euphemia Langton
Klementyna Potocka
Countess of Surrey
Juliana Ursula of Salm-Neuville
Anula Kahatuda
Empress Genmei
Philippine Henriette of Hohenlohe
Princess Louise Margaret of Prussia
Ursula of Salm-Kyrburg
Savithri
Kushige  Takako
Helena Celestino de Magalhães
Duchess of Montferrat
Infanta Maria Josepha of Portugal
Cheryl Skinner
Abeykoon Mayadunnelage Sumanawathi
Chen Jen Pen
'Makarabo
Lady Ge
Lady Wangiya
Philippine Fritzmann
Catherine Marie Antoinette du Pontavice des Renardières
Ayishetu
Francisca Clara da Silva
Bev
Bertrade de Montfort
Queen of Sicily
María Aguirre del Pino
Isabella
Branca Coutinho
Lady Fu
Mary Green Allan
Emma
Tamar Amanelisdze
Sophia Charlotte of Hanover
Amy Wyatt
Margaret de Vere, dau. of John de Vere, 7th Earl of Oxford
Philippa of Lancaster
Josefa Giuseppina Pia di
Princess Ngenzahago
Eyoanwan Eyo Edem
Beatrice Cusani
Deepa Mehta
Anna Marie of Törring at Seefeld
Kamna Chandra
Princess Feodora of Hohenlohe-Langenburg
Alice FitzAlan
Dorothy Gladys Huggins
Caroline Benn
Aurelia Martínez
Heilwig of Frohburg
Zeynab Khanom
Ellyn S. Roth
Barbara Dulska
Countess of Hereford
Emmanuelle de Dampierre
Maria Theresa of Austria-Este (1849–1919)
Mom Lamul
Nancy Snyder
Ottilie von Katzenelnbogen
Susan Sontag
Andrea Somers
Elizabeth Kamaikaopa
*Sita Dahal
Agnes of Leiningen
Sangita Reddy
Anna Sroczycka
Aida Desta
Princess Deoknyeong
Rodag
Duchess of Sutherland
Wallada bint al-Abbas ibn al-Jaz al-Absiyya
Claudia Winthrop
Sabitri Das Mahanta
Princess Ranavalonanandriambelomasina
Jane Adelaide Gregory Clark
Anne Denston
Shirley MacLaine
Mariora Callimachi
Princess Faruhan Hanım İnal-lpa
Junior Rani Lakshmi Bayi
K. S. Rukmabai
Fastrada
Agnes von Mainz
Zoe Doukaina
Princess Gasun
Roscille de Lochar
Nora Prendegast
Mary FitzGerald
Johannetta of Isenburg-Neumagen
Kay Mellor
Anna Dorothea von Doussa, née Schach
Syeda Zohra Tajuddin
Eliza
Norma Kaphan
Helie of Semur
Ayn al-Hayat Ahmad
Princess Johanna of Solms-Hohensolms-Lich
Lady An
Victoria Aitken
Agga Mahethi of Pagan
Beatrix dei Camerino
Patricia Parks
Anna Leszczyńska (1660–1727)
Maria of Hungary (1257-1323)
Lady Diana Beauclerk
Johana of Rožmitál
Nomvula
Iris Linfield
Anne of Bohemia (1204–1265)
Gulgoncha
Françoise of Croÿ-Chimay
Vanessa Weir
Aénor de Châtellerault
Edith Hawke|Edith Lee
Rose Jassem
Hannah Munson
Princess Philippine Charlotte of Prussia
Queen Hemas
Queen Sinjeong (Goryeo)
Isuzuyori-hime
Tomasina Morosini
Sophie Weisman
Armgard of Sierstorpff-Cramm
Anne Caroline Salisbury
Val-des-Choux
Empress Gong
Princess Margriet of the Netherlands
Elisabeth of Sicily (1310–1349)
Sathyvahma Maharana
Hawra
Euphemia of Pomerellia
Atsuko Takahata
Rashida Begum
Latisha Daggert
Sarah Reeves
Leong On-kei
Jill Ramsay
Princess Marie-Auguste of Anhalt
Vinburga
Anna Elisabeth of Leipa
Baraka Al Yamaniyah
Louise of Württemberg
Rocester Abbey
Mount Saviour Monastery
Princess Louise of Prussia
Ajibabi Adetọna
Baroness Gösta von dem Bussche-Haddenhausen
Kunigunde of Eberstein
Anne Raffles
Estelle Rubin
Hafsa Sultan disputed
Santa Maria della Ferraria
List of EastEnders characters (1997)
Gisela of Schweinfurt
Julia Ann Isaacs
Bohunka von Pernstein from Moravia
Louise de Coëtivy
Christian Bach
Anne of Brittany
Nakanoin Akiko
Princess Veyogey Dhon Goma
[[#Margot Summerhayes
Helena Kadare
Dunstable Priory
Megan Hutchison
Princess Amélie of Löwenstein-Wertheim-Freudenberg
Gawhar Khatun
Countess Agnes of Stolberg-Wernigerode
[[#Marta Shirovs
Rhiainfellt
Banitu and Atalia
Abby  Ryan
Taylor Hayes (The Bold and the Beautiful)
Rita Mahamba-Sithole
Elizabeth Dynham
Tinatin Amilakhvari
Che Puan Wan Teh Binti Wan Endut
Irmgard of Hoya
[[#Selina Branning
Shelagh Riley
Saw Pale of Pinya
Miki Irie
Hawise
Countess Franziska Kinsky of Wchinitz and Tettau
Janice Bolton
countess of Flanders
Rose Parsons
Ekanem Ama
Sophie of Sweden
Adela of Normandy
Empress Qincheng
Takashina no Kishi
Terry Moore (actress)
List of EastEnders characters (1995)
Bushra
Farida Begum
Raugravine Caroline Elisabeth
Pereyaslava of Galicia
Queen Seonjeong (Sinjong)
Dora Bao
Muliya  devi
Agnes of Saarbrücken
Reenie McQueen
Ralitsa Chrysoskoleos
Elly Bašić
Ann Marie Sharma
Empress Yu Wenjun
Baroness Ágnes Inczédy de Nagy-Várad
Smt. Ruby Bhattacharya
Mathe de Béarn
Khadija Sultana of Golconda
Gloria Leddy Wusstig Borja
Dorothy Fay
Anne Taylor
Margaret de Joinville
Duchess Marie of Mecklenburg-Schwerin
Taiunet
Geneviève Fourcade
Princess Şahika İffet Hanım Lortkipanidze
Quan Yi Fong
Bibi Daulat
Lady Huang
Francesca Pacheco
Gerberga of Saxony
Kapukapu
Henrietta of England
Eleanor de Bohun
Olga Vasilyevna Meszaros
Indra Parasram
Lady Yun of the Papyeong Yun clan
Sylvana Tomaselli
Duchess of Lugo
Anna Amalia of Brunswick-Wolfenbüttel
Duchess Sophia Frederica of Mecklenburg-Schwerin
Joan de Vere
Roscrea
Anna Benakis
Francisca Butta
Matilda of Habsburg
Bamba Müller
Isabel Jiménez Suárez
Leelavathi Bellad
Fujiwara no Miyako
Rukmavati
Margaret of Austria (1416-1486)
Cammilla Pannocchieschi
Princess Wuwei (daughter of Juqu Mujian)
Maji Shri Chandravati ji Sahiba
Judith of Brittany
Hon. Julia Hamilton
Marie of Oettingen
Anna Sabina of Schleswig-Holstein-Sonderburg
Doris Carlquist
Costanza Varano
Princess Eleonore Erdmuthe of Saxe-Eisenach
Sebastiana Talavera y Garcés
Pauline of Anhalt-Bernburg
Soga no Mei-no-iratsume
Princess Zhaoyi of Qi 齊國昭懿公主
Joanna von Starzhausen
Shamsunnahar Mahmud
Matilda of Germany or Adelaide of Savoy
Lady Elizabeth Yorke
Sarah-Theodora
Aino Ackté
Margaret of Mecklenburg
Adelaide of Maurienne
Francisca Vera Casares
Piccarda Bueri
Margravine of Meissen
Sada Kaur
Anna of Saxe-Wittenberg
Reubai
Kiliwehi
Marcheline Bertrand
Sunarti Sri Hadiyah
Harriet Richardson
Mariam-uz-Zamani
Princess Tamara Dadiani
Maria Sophia of Neuburg
Infanta Eulalia of Spain
Yvonne Summers
Regina z Malczyc
Aryenis
Ali MacGraw
Elsa Sander Gómez
Fatimah binti Radin Hassan
Margaretha of La Marck
Mary Say
Madeshiya Devi Chaudhary
Bianca Maria Visconti
Ruth Hicks
Sue
List of Desperate Housewives characters
Valquíria Nascimento
Morakot Benyakul
Alexandra Cory
Doris Elizabeth Sutton
Prémontré Abbey, Picardy
2nd Duchess of Sueca
Princess Hashmath un-nisa Begum Saheba
Adelaide of Weimar-Orlamünde
Ann A. Adams
Margaret of Masovia
Eileen Brennan
Bakhu
Mechthild of Cleves
Leanne Miller
Barbara Fallis
Countess of Hainaut
Queen Yongmok
Ikuo Kawashima
Maureen Donnelly
Marie Kwilecka
Princess Hermine of Schönburg-Waldenburg
Catherine Agathe of Rappoltstein
Ronnie Mitchell
[[#Aileen Peters
Srinagarindra
Queen Sinmyeongsunseong
Luise Eleonore of Hohenlohe-Langenburg
Daftar ol-Molouk
Lady Nara
Margravine of Brandenburg-Ansbach
Katharine Smith Reynolds
Erdmuthe Maria Theresia of Dietrichstein
Dorothy
Hinsa
Stella McLachlan
Dinah Ike
Princess Augusta Reuss of Köstritz
Sophie Hedwig of Brunswick-Wolfenbüttel
Doris Fleischman
Anna Lubomirska (XVIII-1763)
Mary Stevenson
Anna of Saxony
Maharani Maji
María del Carmen de Ulloa y Suelves
Nakihat Khanum
Atula Thiri Dhamma Dewi of Ava
Katharina von Sommeregg
Beatrix of Namur
Princess Magdalena Augusta of Anhalt-Zerbst
Theresa Donovan
Fujiwara no Ishi
Adelaide del Vasto
Catherine Middleton
Adiva
Laura Avetisyan
Audrey Trueman
Sylvia Wu
Louise of Orléans
Dulce Yeb Raposo
Treaty Ntsoaki Moshesh
Anita Lihme
K. D. Nandawathi
Princess Gerta of Ysenburg and Büdingen
5th Countess of Salisbury
Françoise de Lannoy
Sue Osman
Sarah Grant
Caroline Fraser
Internal Princess Consort Suncheon of the Suncheon Park clan
Constance of Hungary
marquise de Montespan
Tsedale Mandefro
Gladys Virginia Steuart
Magdalene Augusta of Anhalt-Zerbst
Princess Nadejda Petrovna of Russia
wife of Edward the Elder
Anastasia of Greater Poland
Mary de Bohun
Añas Colque
Estée Lauder (person)
Bhagwati Kunwar
Princess Sibylla of Saxe-Coburg and Gotha
Sharon Newman
[[#Andrea Hayworth
Lady Samhanguk of the Sunheung Ahn clan
Lady Cui
Matilda of Lusatia
Elizabeth Barker
Anne Dalrymple
Anne Ferrers
Hüma Hatun
Tükälti
Annamma Karippaparambil
Empress Gao (Song dynasty)
Eva Margaret James
Maud la Zouche
Henriqueta Meneses
Countess Palatine Elizabeth Augusta Sophie of Neuburg
Lady Brigid Guinness
Constance of Arles
Nomalizo Leah Tutu
Lady Kwon of the Andong Kwon clan
Grand Duchess Xenia Alexandrovna of Russia
Cleopatra V of Egypt
Mary Clement
Anisse Issaac
Lady Yang
Internal Princess Consort Dangseong of the Namyang Hong clan
Lyudmyla Yanukovych
Phulwara Begum
Aditi
Ada Thomas
Clarice Orsini
Anna Amalia of Nassau-Weilburg
Soma Hettiarachchi
Girolama Mazzarini
Alice Fitzwalter
Secundina de la Iglesia Castro
Lu'isa Lauaki
Mu Ji
Marie McCourt
Kathy Beale
Agnes of Hesse
Ajeet Caur
Julia Hauke
Desdemona Schmidt
Lee So-jae
Uranie de La Cropte de Beauvais
wife of Arnulf of Carinthia
Princess Marina of Greece and Denmark
Anna Elisabeth of Stolberg
Mildred Finch
Koto
Lakshmi
Boulousou Vincatanarasamma
Candelaria Briones
Swarup Devi of Khairawa
Princess Louise Christine of Savoy
Donna Schwartz-Barcott
Nishi no Aji-ganashi, Ryōgetsu
Tengku Budriah
Isobel of Gloucester and Hertford
Anna Dzierżek h. Nieczuja
Richilde de Bethsan
Herankh-Beludje
Thekla (wife of Michael II)
Dotty Attie
Martha Harris
Liza Stafford
Korful Nessa
Rubi Noor
Sarah McColl Cameron
Countess Bertha of Castell-Rüdenhausen
Lady Elizabeth Hamilton
Mrs O'Leary
Ingeborg of Kiev
Duchess of Prussia
Teresa Navarro Valero
Susan Stamberg
Eirene Pegonitissa
Christine Sousbielle
Queen of Naples
Sophie of Istria
Florence
Princess Ludovika of Bavaria
late Parwati Devi
Selaa'h-un-Nissa
Margravine Auguste of Baden-Baden
Sophie of Cuijck-Arnsberg
Karen Thompson (Home and Away)
Edna Smith
Nona G.  Bradistilova
Euphemia of Masovia
Johannetta of Sayn-Wittgenstein (1632-1701)
Blanche Hunt
Caterina Placco
Suzanne Lafrance
Dagnija Staķe
Vivian Alamain
Issaveta  Demezo
Rafohy
Adaline Havemeyer
Eleanor Summerfield
Sophia Snell
Mary Hughes Gilbert
Ninhursag
Komosarye
Leonor de Escobar
Elizabeth Talbot
Anne of Austria
Monastery of Sant Jeroni de Cotalba
Pricess Changcheng
Duchess of Sagan
Queen Kanti of Nepal
Elizabeth of Wertheim
