South America
Tysværbu
Allonnais, Allonnaise
Nonglardiens / Nonglardiennes
Harari people
Comorian
Groisiliens / Groisiliennes
Tamervillais
Condéens
Torcéen, Torcéenne
Régis-Borgiens
Ingréens
Cretan, archaic Cretian
Volding
Melandsbu
Water Islander
Saltdaling
Liechtensteiners
Pruilléen ou Lostre
Philippine
Chinese people
Sandillonnais
''
Gorguillons, Gorguillonnes
Ølsbu
Oisonnais
Liffolois, Liffoloises
Zuanais, Zuanaises
Eidsberging
Moutrons
Demographics of Thailand
Hungarians
Diois
seyssuellois, seyssuelloises
Grinddøl
Ytterøyning
Grongning
Yugoslavian
Malaysians
Charcéen, Charcéenne
Saint-Georgiens
Abérois, Abéroises
Aragonese people
Ottoman Serbs
St. Joseph Islander
Thélignois, Thélignoise
Lovelian
Novorossiyan
Les Vinzellois
Aigues-Mortaise
Pitgamois
Rochetaillards
Livetain, Livetaine
Renaudin, Renaudine
Les Ferlanais
Central Sumatran
Nouantais, Nouantaise
Averøying
Neversois
Vauvillais
Hemanian, Hemani
Touchois
Tacneño, a
Sabinois, Sabinoise
Liginiacois, Liginiacoises
Visayan
Gennois, Gennoise
Roman
Guilbervillais
Soviet people
Ugandan
Marliens
Valldøl
Ozevillais
Genéen, Genéenne
Kvænangsværing
Kvinnhering
Demographics of Algeria
Ponote, anicienne
Slidring
Zuger/Zugerin
Tarapaqueño
Storelvdøl
Demographics of Laos
Monterelais
Ethnic groups in Europe
Joncherois, Joncheroises
West Frankish, West Frank
Seychelloise
Orvalais
Dijonnais
Gabonese
Noirmonier
Demographics of Bahrain
Privateer
Grenevillois
Rochois / Rochoises
Loquenaysien, Loquenaysienne
Burmese
Australians
Holmestranding
Bathiolains
Digosvillais
Touvoisiennes, Touvoisiens
Les Agasses
Gausdøl
Rindaling
Corfiote
Moulihernais, Moulihernaise
Silléens
Denezéen, Denezéenne
Les Chats borgnes
Tico
Galicia (Eastern Europe)
Courcellais, Courcellaise
Aiguebelettois
Drainois, Drainoise
Kviknedøl
Bruérois, Bruéroise
Cheneysien, Cheneysienne
Les Payernois
Vollsokning
Bergenite
Lè Pi-Bot
Les Lutryens/Nickname: 'Les Singes'
Domfrontais
Hitterværing
Heimsbygg
Magnanvillois
Vengeonnais
Brazilian
Les Vallamandais
Lavardinois, Lavardinoise
Snåsning
Montillais
Koli
Cessanais
Minaean
Les Creminois
Velborains, Velboraines
Banatian
Bahraini
Værøyværing
Neuvillois, Neuvilloise
Åkrabu
Miquelonnais
Ossetian
English people
Prussian
Éri-mûrois, Éri-mûroises
Saintongeais, Saintongeais, Saintongeaise, Saintongeaises
Polisson
Dracénois
Coullonnaises, Coullonnais
Coudrillons
Trøgsting
Demographics of the United States Virgin Islands
Redondan
Oronais, Oronaises
Grand Mottois
Eaux-Bonnais, Eaux-Bonnaises
Doucellois, Doucelloise
Les Grands Pantets
Ervauvillois
Balbyniens
Les Moustiques
Gold Coastian or Gold Coaster
Hamarsokning
Chazéen, Chazéenne
Skogning
Palestinian people
Portbaillais
Cantelouais
Chiot
Jeveraner
Sandsbu
Castanéens
Opolean
South African
Ulsteining
Thoréen, Thoréenne
Challois, Challoise
Chanian, Chaniot
Saint-Pierrois
Les Lignerollois
Luxembourgers
Saipanese
Strandar
Valentinois
Ninvillois, Ninvilloises
Lionnais, Lionnaise
Nonnais-Bretêchois
Combleusiennes, Combleusiens
Marcellaziens
Sokndøl
Abzacais, Abzacaises or Abzacois, Abzacoises
Lè Caque-lentelye
Nîmois
Bissau-Guinean
Les Cudrefinois
Lindåsing
Brasileiro
Iranian
Tréauvillais
East Frankish, East Frank
Fontainoise
Chapellois, Chapelloise
Chapelaines, Chapelains
Locarnesi
Lillehamring
Boësséen
Sunnylving
Auvarois
Dangyais
Zimbo
Cernussonais, Cernussonaise
Croatian
Combreusiens
Coudekerquois
Tønsbergenser
Sandstadværing
Dir'iyy
Les Cornichons
Abbecourtois, Abbecourtoises
Tunisian people
Noveltins
Vitrylogiens
Tonkinese
Chevannois
Jumellinois, Jumellinoise
Caladois
Van Diemonian usually spelt Vandemonian
Adenese
Karlsøyværing
Strazeelois
Puiset-Doréen, Puiset-Doréenne
Saudabu
Child
Yvracais, Yvracaises
Northern Marianan
Germinois
Les Baulmérans
Bosnian, Herzegovinian
Vinbygg
Strander
Lavallois
Lignolais, Lignolaises
Angevin, Angevins, Angevine, Angevines
Gravelinois
East Asian people
Montpelliérain
Trysling
Reilhacois
Meurcéen, Meurcéenne
Azerbaijani
Lullois / Lulloise
Lignonnais, Lignonnaises
Fontevriste
Hustadværing
Korean
Belleysans
Vindafjording
Brandvalsokning
Trinbagonian
Lensvikbygg
Les Perchettes
Yzossais, Yzossaises
Gerzatois, Gerzatoises
Valsøyfjording
Ormois
Glåmosing
Ardenaisien, Ardenaisienne
Annamite
Ablonnais, Ablonnaises
Kamloosian
Ryggesokning
Timorese
Herøfjerding
Ruilléens, Ruilléenne
Cheran
Sorinièroise, Sorinièrois
Zaporozhian Cossacks
Austrheiming
Americans
Ablaincourtois, Ablaincourtoises
Ottoman Turks
Vestvågøyværing
Gringeauds
Lebesbyværing
Meignéen, Meignéenne
Abondanciers, Abondancières or Abondanciens, Abondanciennes
Joyeu, Joyeuse
Aremarking
Caudrésiens
Grévillais
Fayl-Billotins, Fayl-Billotines
Seichanais, Seichanaises
Chevillais, Chevillaise
Lè Ricllia-laitia
Endonym: Ethiopian
Exonym: Abyssinian
Monsteriolais, Monsteriolaise
Fromondais
Grugéen, Grugéenne
Pierlassois
Tunisian
Avrionlins / Avrionlines
Aubryen, Aubryenne
Ablisiens, Ablisiennes
North Sentinelese
Besséen, Besséenne
Mysoreans
West Asian
Perriérois
Dibrane
Saint-Germinois, Saint-Germinoise
Tarapaqueño, a
Cailloutins
Ferfléen
Solothurner
Ræling
Nyoisien, Nyoisienne
Bonsonnois
Stangesokning
Contaminois
Molossian
Osmanien, Osmanienne
Lustring
Doulieusiens, Doulieusiennes
Sokndaling
Sisaleño
Villamonastériens
Silléen, Silléenne
Guindrecourtois, Guindrecourtoises
Lignerois, Ligneroises
Turballais, Turballaise
Coudevillais
Fuiletais, Fuiletaise
Kosovar, Kosovan
Punics
Dollonnais, Dollonnaise
Skjåkvær
Cernexiens
Sandwipi
Kumaoni
Seytrousiens / Seytrousiennes
Chérancéen, Chérancéenne
Israeli settlers
Vingt-Hanapsiens
Cléfois, Cléfoise
Torping
Oostcapellois
Cape Verdean or Cabo Verdean
Salernois
Tourvillais
Basque
Conflanais
Ferréolains
Zellwillerois, Zellwilleroises
Høvding
Curaçaoan
Epiedois, Epiedoise
Lederzeelois
Ceylonese
Lutins
Bordelais
Eiding
Baillifien
Salvadoran
Corzéen, Corzéenne
Téteghemois
Dammartinois, Dammartinoises
Menorcan
Marcillais
Ternateans
Liréen, Liréenne
Allondains
Sarandiote
Avesnois, Avesnoise
Dehaultien, Dehaultienne
Les Essertinois
Bjelldøl
Perpignanais
Swede; Swedish
Askøyværing
Moncéen, Moncéenne
Franks
Demographics of Mauritania
Mohegan
Beratase
Coinçois
Heskestadbu
Vadsøværing
Valennois, Valennoise
Bjerkreimsbu
Uruguayans
Gaudassien, Gaudassienne
Jerbi
Hintati
Landisacquois
Fercéin, Fercéine
Norfolk Islanders
Lignacois, Lignacoises
Fléen, Fléenne
Geitastranding
Lè Redale
Qasimabadi, Bahadurganji
Montabonais, Montabonaise
Yzernois, Yzernoises
Bikaner
Lørenskoging
Zimbabwe Rhodesian
Denéen, Denéenne
Orvillois
Yquelonnais
Indian
Poisilliens
Burmese people
Intvillois
Hjelmelandsbu
Annécien
Altstätter
Samoans
Marillaisien, Marillaisienne
Leysenouds
Turks and Caicos Islander
Rømsking
Bernese
Mindanawan
Fedjing
Zambian
Iraqis
Sercusiens
Kunari
Estonian
Mosotho
Guilleroys et Guilleroises
Mostring
Hølonding
Malvikbygg
Tjeldsunding
Vezotin, Vezotine
Nejdi
Sandtorging
Varadaises, Varadais
Raumaværing
Aksumite, Ethiopian, Abyssinian
Ivdøl
Cornélien, Cornélienne
Strasbourgeois
Demographics of Uzbekistan
Systrening
Couturois, Couturoise
Escrennois
Estairois, Estairoises
Steenois
Aarauer
Demographics of Mali
Conlinois, Conlinoise
Outarvillois
Belarusian
Øystreslidring
Les Carrougeois
Entrevernains
Freedonian
Vailliérand / Vailliérande
Llanito
Dane; Danish
Turkic peoples
* Koli
Barberaziens, Barberaziennes
Vauxois, Vauxoises
Parçayais, Parçayaise
Dehaultais, Dehaultaise
São Toméan
Perronnais
Skjervøyværing
Rousséens
Les Vufflanais
Fresnayons
Saudrois
Rahaysien, Rahaysienne
Midway Islander
Røykenbøring
Surinamese people
Gennetellais, Gennetellaise
Yvoiriens, Yvoiriennes
Guernseyman
béléniens
Thimoriens
Israelites
Kuksian/e
Øygarding
France
Stodbygg
Touëtans
Vallerois
Morignais
Bérusiens
French people
Fusing
Montenegrins
Courcebœusien, Courcebœusienne
Maldivian
Kipchak
Guanaco
fulliérain, fulliéraine
Mykonians
Les Tavans
Valsois
Armenians
Volckerinckhovois
Folloværing
Sarcophagiens
Buisantins, Buisantines
Rhodian, Rhodiot or
British American
Elban
Ponot, anicien
Howe
Arcéen, Arcéenne
Capellaudain, Capellaudaine
Lè Rebata-tsaudère
Bruneian
Andermatter
Jamboisien, Jamboisienne
Opaciens
Oudezeelois
Hûmois, Hûmoises
Cambiens
Pressigniens, Pressigniennes
Bülacher or Büler
Mulsannais
Reisaværing
Tanukhi
Cheréen, Cheréenne
Chilean
New Zealander
Reffuveillais
Valletaise, Valletais
Palestinians
Godewaersveldois
Monégasque
Sømnværing
Sørtrønder
Cubaguense
South West African
Pandiyar
Prévalois, Prévaloise
Western Asian
Pouhas
Burgundian
Ålbygg
Scoti
Fertois, Fertoises
Cheveyrand
Scots
Saint
Ålänning
Brûlonnais, Brûlonnaise
Lorétain, Lorétaine
Circassian
Montjeannais, Montjeannaise
Albanians
Juranvillois
Sønndøling
Fervachais
Lè Renaille
Parnaisien, Parnaisienne
Thorignéen, Thorignéenne
Sumbans
Arlesheimer
Les Coinsinnois
Jallaisien, Jallaisienne
Pommeréyen, Pommeréyenne
Spaniards
Contois
Liberlandian
Les Bocanis
Nancréens
Nesbu
Kåfjording
Menthonnais / Menthonnaises
Oxellois
Licchavika
Rhodesian
Skårebu
Ignémontain, Ignémontaine
Argentinean
Meurois, Meuroises
Abbanais, Abbanaises
Chevillonnois
Pannecièrois
Carmagnols, Carmagnoles
Villiers-le-Secois, Villiers-le-Secoises
Grand Mottoise
Konsmosokning
Messine
Færdermann, Færderkvinne,
Thivétains, Thivétaines
Tourangelle
Capellofrayen, Capellofrayenne
Una-Sanian
Ambarrois, Ambarroises
Poles
Francie
Tysfjerding
Domjeanais
Les Novillois
Holtåling
Breillois, Breilloise
Høyangring
Demographics of North Korea
Calidofournien, Calidofournienne
Indian people
Guernseywoman
Hareidstøling
Philistines
Skudnesbu
Hurdaling or
Lè Tyalo
Monteglésien, Monteglésienne
Liézois, Liézoises
Herzeelois
Montois, Montoise
Stordaling
Plantisiens
Helenian
Morins
Ghyveldois
Swiss
Abondantais, Abondantaises
Canadians
Sierra Leonean
Trignacaises, Trignacais
Peruvian
Dibran
Phoenician
Ariqueño, a
Evdøl
Saint-Andréens
Chozhar
Vestlending
Milonnais, Milonnaise
Malagasy people
Khmer
North German
Guyanese
Cournonterralais
Qataghani
Plainais, Plainaise
brønnøyværing
Semourstériens, Semourstériennes
Les Cuarnenais
Montpelliéraine
Goling
South Aussie
Rablayen
Fitjabu
Fameckois
Talvikværing
Ognabu
Cunaldien, Cunaldienne
Altarense
Bangkan
Ullsokning
Igoumenitsiote
Rarotongan
valencià, -ana
Abitainois, Abitainoises
Rennbygg
Türük
Neuillois
Adliswiler
Mardouillats, Mardouillates
Surndaling
Yoruba
Les Choupions
Hamelinois
Pinsotins / Pinsotines
Maiense
Lè Bourata-caion
Seytheneyard / Seytheneyarde
List of Andorrans
Gourfaleurais
Trinitons
Reignerand, Reignerande
Flacuméens ou Fiétuméens
Escarénois
Unterseener
Nieurletois
les Egryons
Avoisiens
Gestois, Gestoise
Orvinois
Lignerollois, Lignerolloises
Trevian
Les Méziérois
Eeckois, Eeckoises
scéléens,scéléennes
Douchyssois
Røldøl
Les Forellois
Giernésiais
Courmois
Roizéen, Roizéenne
Foulayronnais
Allschwiler
Kittitian
Courcellois
Arbreslois, Arbresloises
Ethiopians
Lebanese people
Belfaidien, Belfaidienne
Falckois, Falckoise
Auversois, Auversoise
Arnageois, Arnageoise
Vallipontain, Vallipontaine
Béthunéens
South Sentinelese
Vritziens, Vritziennes
Lignérois, Lignéroises
Liberlander
Curti-Marignacais
Les Cabris
Randonéens
Rouxevillais
Hérémitériens
Neuilléen, Neuilléenne
Vertusiens
Cherkess
Latvian
Wylderois
Villainois, Villainoise
Campo-Haltiens
Dordivois
Siamese people
Les Montélets
Lè Racene
Cebuanos  / Cebuanas
Sarner
Neunkirchner
Yzeuriens, Yzeuriennes
Poilléen, Poilléenne
Champangeois
Capellovalsiennes, Capellovalsiens
Skjerstadværing
Wolinians
Zévacais, Zévacaises
Bouyonnais
Courcemontais, Courcemontaise
Planain
Kadavathurkaran,
Kadavathurkari,
Kadavathurkar
Cerisièrois, Cerisièroises
Austrians
පොළොන්නරු
Ambazonian
Mljećanin 
Mljećka
Léguevinoises et Léguevinois
Berner
Les Matagasses
Lionnais
Colmériens
Crucian
Lullinois / Lullinoises
Frosting
Lucéen, Lucéenne
Chauffourtois, Chauffourtoises
Holing
Ørgjelding
Cangonjar
Viuzienne, Viuzien
Suryens
Saint-Aubinois, Saint-Aubinoise
Vernoilais, Vernoilaise
Bernoland / Bernolande
Houttevillais
Bavarian
Thuner
Granadine
Argentines
Seljeværing
Elmorean
Aynsards / Aynsardes
Buryat
Marking
Moulinois
Maghrebis
Bøfjerding
Villemurlinois, Villemurlinoises
Albanais
Rovenain
Pirate
Chanusiens
Saint-Pierrois / Saint-Pierroise
Les Corbeaux
Liberian
Skauning
Yugoslavs
Ålandic/Ålandish
Cerqueunais, Cerqueunaise
Darfuri, Darfurian and Darfurese
Aériens
Hutt Riverian
Cumans
Créassier, Créassière
Saint-Pierrots, Hiriburuar
Moroccan people
Massais, Massaises
Pontatinacusain, Pontatinacusainne
Les Penatzets
Dimanchevillois
Tveitsokning
Cubans
Ruillacois, Ruillacoise
Panamanian
Gorbarin
Åling
Lignerollais, Lignerollaises
Demographics of Papua New Guinea
Ogndaling
Kuchean
Minziérois / Minziéroises
Norsemen
Malicornais, Malicornaise
Condois, Condoises
Couvillais
New Caledonian
Azerbaijanis
Cébazaire
Possonnéen, Possonnéenne
Al-Hawwari
Vestegde
Saxons
Veyrolain
Vincy
Iquichan
Abaucourtois, Abaucourtoises
Lardøling
Echemiréen, Echemiréenne
Fijians
Saint-Léonardais
Brigasques
Montgénois, Montgénoise
Les Corcellois
Barbadians
Meythésan / Meythésane
Contignéen, Contignéenne
Ranværing
Caribbean
Dampierrois
Badakhshani
Tai-Mao
Buvikværing
Anatolian
Fertois, Fertoise
Arçonnéens
Cantaronnais
Grenadian
Savoyard
Hobøling
Annécienne
Thiennois
Les Grillons
Tajik
Fatinois, Fatinoise
Roman people
Palestinian
indre østfolding
Chantenaysien, Chantenaysienne
Biterrois
Chemiréen, Chemiréenne
Lè Z'Ozi
Mandeurais ou Mandorais
Kladèos
Luartais, Luartaise
Patichons
Catracho
Porsgrunnsfolk/-mann/-kvinne
Bessarabian
Demographics of the Central African Republic
Palauan
Les Vaulienis
Oppdaling
Macau
Etnebu
Bernésien / Bernésienne
Cuvréiens, Cuvréiennes
French Polynesian
Northern Mariana Islander
Oceanian
Vieil-Baugeois, Vieil-Baugeoise
Vegårsheiing
Capellhuonnais, Capellhuonnaise
Briançonnois
Tolging
Jamaicans
Roquestéronnais
Gaiser
Tessyais
Dønnværing
Chanoyens, Chanoyennes
Saudi Arabian
Åmoting
Vaideha
Sammarinese
Hetlandsbu
Qatabanian
Noidantais, Noidantaises
Mathonais, Mathonaises
Courtempierrois
Thoignéen, Thoignéenne
Guatemalans
Guedaniellissois, Guedaniellissoise
Rhoditis
Büsseracher
Courléonais, Courléonaise
Les Montherolis
Machellois, Machelloise
Altaian
Montabolais
Posavinian
Azerbaijani, Azeri
Cusiard / Cusiarde
Pinois, Pinoise
Appenzeller
Artsakhi
Oxelaërois
Blanquefortais
Jordanian
Jouesien, Jouesienne
Fresnoises, Fresnois
Sylvanois, Sylvanoise
Cassandrin / cassandrine
Mauritian
Champtocéen, Champtocéenne
Rovenaine
Tourangeau
Les Promiolians
Abbevillois, Abbevilloises
Hawaiian
Tinndøl
Zanzibari
Pellerinois, Pellerinoise
Zuytpeenois, Zuytpeenoises
Carriacouan
Østretotning
Capello-Genestois, Capello-Genestoise
Sandøying
Craménilois
Audnedøl
Guierchois, Guierchoise
Dutch
Hjelmesokning
Saint-Maixentais, Saint-Maixentaise
Vagvær
Papua New Guineans, Papuans
Hjartdøl
Kvæfjerding
Liglétiens, Liglétiennes
Thai people
Harstadværing
Morzinois
Gagauzian
Oudonien, Oudonienne
Epervier, Epervière
Danziger, Gdańszczanie
Abbévillerois, Abbévilleroises
Chapelloises, Chapellois
Vajjika
Somalilander]]
Courchampois, Courchampoise
Brierois, Brieroise
Paulinais, Paulinaises
Lè Tsayou
capitaleño/capitaleña
[[#Demographics
Saint-Aubinois
Demographics of Grenada
Rendøl
Chanzéen, Chanzéenne
Songdøl
Champignéen, Champignéenne
Frolending
Les Saint-Légerins
Pitcairnese
Bieler/in
Mozéen, Mozéenne
Bulgarians
Villepotaises, Villepotais
Gidéens
Adelbodner
Solabu
Larviking
Tanzanian
Brattværing
Chapelains
Oppegårding
Tourriers
Gouvions
Trinidadians and Tobagonians
Challésiens / Challésiennes
Snake Hiller
Maubere
Frøning
Chalcidian
Cernonnais, Cernonnaise
Saint-Sannien, Saint-Sannienne
Nivernais
Sortlending
Zommangeois, Zommangeoises
Sørreisværing
http://www.ville-pannes.fr
Scelléen, Scelléenne
Valencian people
Otterøybygg
Saintblaisois
Valenciennoise
Chapelonais
Brabantian
Türk
Artean
German
Cape Bretoner
Demographics of Qatar
Soulignéen, Soulignéenne
Bulgars
Vignolais, Vignolaises
Châtillonnais
Askerbøring
Les Champagnoux
Gaudiacéens
Hemnesværing
Fyresdøl
West Herzegovinian
Chamorro
Ballangsværing
Korçar
Kinnhering
Kastorianos
or Hobling
Grangermontois
Løtensokning
Turkestani
Boëssois
Boricua
belford-roxense
Balméens
Gravensar
Afar people
Gravelottin, Gravelottine
Dryssois
Berlevåging
Chavaignais, Chavaignaise
Tillerbygg
Chapín
Måsøying
Savoisian
Mindanawon
Selbygg
Caldéens
Charmois
Melleroysiens
Joviciens
Saarlander or Saar
Marnardøl
Hambions or Hambyons
Quaëdyprois, Quaëdyproises
Uxellois
Sandeidbu
Oudincourtois, Oudincourtoises
Saint-Pierre-Avéziens
Mayetais, Mayetaise
Pouëzéen, Pouëzéenne
Langessois
Nesnaværing
Les Rossignolets
Mareillais, Mareillaise
Kvenværing
Syunetsi
Épaniens / Épaniennes
Mindanaoan
Al-Warfalli
Ibestadværing
Tronchetois, Tronchetoise
African
Radværing
Lorrainian
Macériens
Culture of Aruba
Niuean
Montmartinais
Grez-Neuvillois, Grez-Neuvilloise
Cypriot Turks
Neufbourgeois
Rogalending
Gilbertese and Ellicean
Lè Djanmâ
Nessetgjelding
Nogentais
Zonian
Levangsbygg
Rølling
Cappellebrouckois
Strasbourgeoise
Vesignois, Vesignoises
Saint-cerguois
Waihekean
Yvréen, Yvréenne
Dervishy
Serbs of Bosnia and Herzegovina
Tropojan/e
Neapolitan
Cannoise
Ascéens, Ascéennes
Ménestréens
Loiréen, Loiréenne
voissigniauds
Balsfjording
Mytilenian
Luzonian
Cherreausien, Cherreausienne
Altaværing
Nigerians
Tanaværing
